sr_no,sector,ministry,project_code,project_name,orig_cost,rev_cost,expenditure,phys_progress,planned_duration_days,project_age_years,elapsed_fraction,progress_gap,cost_utilization,cost_per_progress,sanction_year,sanction_month,size_decile_in_sector,sector_loo_cost_overrun_rate,sector_loo_time_overrun_rate,ministry_loo_cost_overrun_rate,ministry_loo_time_overrun_rate,cost_overrun_pct,cost_overrun_flag,time_overrun_months,time_overrun_flag
1279,Roads & Highways,Ministry of Road Transport & Highways,618428,Realignment of NH-717A from Design Ch.0.00 Km 77.800 of NH-10 to Design Ch.2.00 Km 3.100 of NH-717A with two lane paved shoulder including Major Bridge of 680 m in the State of Sikkim on EPC Mode-COS work,265,380.94,70.71,100,826.0,5.316906228610541,2.351089588377724,135.10895883777238,0.26683018867924524,0.70009900990099,2021.0,1.0,1.0,0.35978835978835977,0.7318840579710145,0.35978835978835977,0.7318840579710145,43.75094339622642,1.0,37.352168199737186,1.0
1280,Roads & Highways,Ministry of Road Transport & Highways,619221,Realignment of Rudrapur-Kathgodam Section of NH-87 New NH-109 From Design Chainage 000 Existing Chainage Km.54050 To Design Chainage 7875 Existing Chainage Km.61550 Due To Proposed Expansion Of Pantnagar Airport in the state of Uttarakhand.,253,,0.14,0,763.0,0.7118412046543463,0.34076015727391873,34.07601572739188,0.0005533596837944665,0.14,2025.0,8.0,1.0,0.3609154929577465,0.7329192546583851,0.3609154929577465,0.7329192546583851,,,0.0,0.0
1281,Roads & Highways,Ministry of Road Transport & Highways,618025,Rehabiitation and upgradation from km 121/000 to 154/000 Nakrekal to Mallampally section of NH-365 to 2 lane with paved shoulders in the state of Telangana in the EPC mode,193,,141.82,96,635.0,8.131416837782341,4.677165354330708,371.7165354330708,0.7348186528497409,1.462061855670103,2018.0,3.0,0.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,81.73455978975032,1.0
1282,Roads & Highways,Ministry of Road Transport & Highways,618067,"Rehabilitation & Up-gradation from design Km. 0.000 to Km. 69.280 of NH-931 Pratapgarh - Amethi - Gauriganj -Musafirkhana to two lane with paved shoulder on Engineering, Procurement & Construction EpC mode in the State of Uttar Pradesh",1086,,24.29,9,1637.0,2.954140999315537,0.659132559560171,56.913255956017096,0.02236648250460405,2.429,2023.0,5.0,6.0,0.3609154929577465,0.7329192546583851,0.3609154929577465,0.7329192546583851,,,0.0,0.0
1283,Roads & Highways,Ministry of Road Transport & Highways,618089,Rehabilitation & Up-gradation of Mudkhed to Nanded section from Km. 372000 to Km 388400 of NH 161A i.e. Nanded-Bhokar-Himayatnagar-Kinwat-Mahur-Arani Road Design chainage from Km 372000 Mudkhed to Km 387650 Nanded of NH 161A Length 15.65 Km to 2/4Lane with paved shoulders configuration in the State of Maharashtra on EPC mode.,207,,74.51,65,1105.0,4.101300479123887,1.3556561085972851,70.56561085972851,0.35995169082125605,1.128939393939394,2022.0,3.0,0.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,18.922470433639948,1.0
1284,Roads & Highways,Ministry of Road Transport & Highways,618035,Rehabilitation & Upgradation of existing intermediate lane to two Lane with paved shoulder from km. 0.600 Gulganj bypass on NH-34 to km. 43.00 Barna River length 42.400 km. on Gulganj-Amanganj-Pawai-Katni NH43 Extn. in the state of Madhya Pradesh on EPCmode.,275,,0.0,60,1167.0,3.143052703627652,0.9837189374464439,38.371893744644396,0.0,0.0,2023.0,3.0,1.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,7.424441524310118,1.0
1285,Roads & Highways,Ministry of Road Transport & Highways,618218,Rehabilitation & upgradation of existing road to 2-lane with hard shoulder from Joshimath km 0.00 to Saraithota km 29.725 road on NH-107B under Bharatmala Pariyojna on EPC mode in the state of Uttarakhand,338,,0.0,80,945.0,3.5290896646132786,1.364021164021164,56.402116402116405,0.0,0.0,2022.0,10.0,2.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,22.306176084099867,1.0
1286,Roads & Highways,Ministry of Road Transport & Highways,618450,Rehabilitation & Upgradation of existing road to 2-lane with paved shoulder including geometric improvement of section from start of Rabangla km33.600 to km58.840 under SARDP-NE Phase A Pkg- IV,293,,253.63,65,661.0,5.806981519507187,3.208774583963691,255.8774583963691,0.8656313993174062,3.842878787878788,2020.0,7.0,1.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,55.97897503285151,1.0
1287,Roads & Highways,Ministry of Road Transport & Highways,618154,"Rehabilitation & upgradation of Jamkhed to Sautada Section of NH548 D from km 195.375 to km 208.774, Length 13.399 Km to 2L PS /4L configuration with rigid pavement in the state of Maharashtra on EPC mode.",158,,0.0,69,845.0,4.1067761806981515,1.7751479289940828,108.51479289940829,0.0,0.0,2022.0,3.0,0.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,23.52168199737188,1.0
1288,Roads & Highways,Ministry of Road Transport & Highways,618020,"Rehabilitation & Upgradation of KurwaiMungaoliChanderi Road section of NH-346, from Design Chainge 0.000 to 81.300 Km Total length 83.1 km to Two lane with paved shoulder configuration along with One time improvement in 07 nos of bypassed built-up areas in a total length of 22.615 km in the state of Madhya Pradesh on EPC mode.",386,,164.84,68,1048.0,4.1040383299110195,1.4303435114503817,75.03435114503819,0.42704663212435234,2.388985507246377,2022.0,3.0,2.0,0.3609154929577465,0.7318840579710145,0.3609154929577465,0.7318840579710145,,,22.864651773981603,1.0
